"county_fips","state","county_name","winning_party_votes","winning_party","unemployment_rate","PCTPOVALL_2019","percent_less_than_hs","percent_hs_only","percent_some_college","percent_bachelors_or_higher"
1001,"ALABAMA","AUTAUGA",19838,"REPUBLICAN",4.9,12.1,11.5,33.6,28.4,26.6
1003,"ALABAMA","BALDWIN",83544,"REPUBLICAN",5.6,10.1,9.2,27.7,31.3,31.9
1005,"ALABAMA","BARBOUR",5622,"REPUBLICAN",7,27.1,26.8,35.6,26,11.6
1007,"ALABAMA","BIBB",7525,"REPUBLICAN",6.6,20.3,20.9,44.9,23.8,10.4
1009,"ALABAMA","BLOUNT",24711,"REPUBLICAN",4.1,16.3,19.5,33.4,34,13.1
1011,"ALABAMA","BULLOCK",3446,"DEMOCRAT",5.5,30,25.3,40.3,22.3,12.1
1013,"ALABAMA","BUTLER",5458,"REPUBLICAN",8.8,21.6,15,45.2,23.7,16.1
1015,"ALABAMA","CALHOUN",35101,"REPUBLICAN",7.1,17.2,15.6,32.8,33.2,18.5
1017,"ALABAMA","CHAMBERS",8753,"REPUBLICAN",6.8,19.6,18.4,36.7,31.6,13.3
1019,"ALABAMA","CHEROKEE",10583,"REPUBLICAN",4.6,15.9,18.4,40.3,28.6,12.8
1021,"ALABAMA","CHILTON",16085,"REPUBLICAN",5,16,18.2,44.4,24.6,12.7
1023,"ALABAMA","CHOCTAW",4296,"REPUBLICAN",6.7,22.6,18.6,37.7,31.8,11.9
1025,"ALABAMA","CLARKE",7324,"REPUBLICAN",9,18.4,19.4,41.8,26.6,12.2
1027,"ALABAMA","CLAY",5601,"REPUBLICAN",4,16.6,23.3,37.8,28.3,10.6
1029,"ALABAMA","CLEBURNE",6484,"REPUBLICAN",4.6,13.3,21,38,25.6,15.4
1031,"ALABAMA","COFFEE",16899,"REPUBLICAN",4.4,15,14.1,27.2,35.9,22.8
1033,"ALABAMA","COLBERT",19203,"REPUBLICAN",6.6,14.6,14.8,37.8,29.2,18.1
1035,"ALABAMA","CONECUH",3442,"REPUBLICAN",7.3,22.2,15.7,51.1,20.4,12.8
1037,"ALABAMA","COOSA",3631,"REPUBLICAN",5.5,17.1,20,40.3,26.9,12.8
1039,"ALABAMA","COVINGTON",14586,"REPUBLICAN",4.9,17.2,16.6,37.3,30.8,15.3
1041,"ALABAMA","CRENSHAW",4864,"REPUBLICAN",5.7,16.8,20.8,39.5,22.3,17.4
1043,"ALABAMA","CULLMAN",36880,"REPUBLICAN",4.3,12.2,18.4,34.1,33.6,13.9
1045,"ALABAMA","DALE",14303,"REPUBLICAN",4.9,18.1,13.9,32.3,35.7,18.1
1047,"ALABAMA","DALLAS",12230,"DEMOCRAT",10.7,26,18.2,35.9,31.2,14.7
1049,"ALABAMA","DEKALB",24767,"REPUBLICAN",4.5,18.2,25.2,34.2,27.6,13
1051,"ALABAMA","ELMORE",30164,"REPUBLICAN",4.9,11.4,13.4,32.5,29.1,25.1
1053,"ALABAMA","ESCAMBIA",10869,"REPUBLICAN",6,20.5,18.9,43.7,24.9,12.5
1055,"ALABAMA","ETOWAH",35528,"REPUBLICAN",7.7,18.8,15.4,32.9,33.9,17.8
1057,"ALABAMA","FAYETTE",7300,"REPUBLICAN",5,17,17.4,41.3,28.9,12.4
1059,"ALABAMA","FRANKLIN",10376,"REPUBLICAN",4.4,16.1,22.8,36.6,26.6,14
